1 	the 	g 	art 	24983484 	41506.1274578191 	3
2 	of	g	pp	23334834	38767.1549016563 	2
3 	and	g	con	19357013	32158.6312293619 	3
4 	in	g	pp	18273139	30357.9451284075 	2
5 	a	g	art,sym	14378797	23888.1086790020 	1
6 	to	g	pp	14045710	23334.7370405011 	2
7 	was	g	va	7767936	12905.2033615561 	3
8 	is	g	va	7431276	12345.8957457748 	2
9 	for	g	pp	5623317	9342.25635374639 	3
10 	as	g	con,pp	5596850	9298.28559788920 	2
11	on	g	pp,adj	4966794	8251.54669463761 	2
12	with	g	pp	4740230	7875.14625899967 	4
13	by	g	pp,adv	4665205	7750.50402685451	2
14	that	g	pn,con	3994587	6636.37774312612	4
15	he	g	pn	3973243	6600.91804565319	2
16	from	g	pp	3518319	5845.13340298202	4
17	his	g	pn	3418304	5678.974218070350	3
18	at	g	pp	3302593	5486.738598960070	2
19	it	g	pn	3274098	5439.398640213310	2
20	an	g	art	263249	4373.46790669525	2
21 	are	g	va,nc	2444209	4060.66865163997	3
22	were	g	va	2340472	3888.32594939349	4
23	which	g	pn,con	2204184	3661.90488262108	5
24	this	g	pn	2055315	3414.58246399772	4
25	or	g	con	1999606	3322.03072643591	2
26	be	g	va	1969602	3272.18380163373	2
27	also	g	adj	1815667	3016.44502115702	4
28	has	g	vt	1792977	2978.74915648027	3
29	had	g	vtp	1641068	2726.37625620784	3
30	one	g	adj,nc,pn	1451128	2410.82083369998	3
31 	first	g	adj	1436502	2386.52203613444	5
32	their	g	pn	1421371	2361.38426053179	5
33	not	g	adv	1396822	2320.59995987293	3
34	but	g	con,nc	1387667	2305.39036793305	3
35	its	g	pn	132499	2201.26239480194	3
36	have	g	va,vt,nc	1294662	2150.87719498190	4
37	new	g	adj	1275024	2118.25174806598	3
38	they	g	pn	1273247	2115.29954218098	4
39	who	g	pn	1261852	2096.36854271022	3
40	after	g	pp	1261796	2096.27550752195	5
41 	other	g	adj,nc	1098131	1824.37186308292	5
42	her	g	pn	1091238	1812.92022821219	3
43	been	g	va	1082473	1798.35855990493	4
44	two	g	nc	1065412	1770.01439299219	3
45	when	g	adv,nc,con	1015897	1687.75301179035	4
46	there	g	adv	1014537	1685.49358578946	5
46	she	g	pn	985293	1636.90928139955	3
48	all	g	adj	968788	1609.48882099893	3
49	into	g	pp	875277	1454.13500866803	4
50	more	g	adj	864524	1436.27059117710	4
51 	during	g	pp	843429	1401.22456802346	6
52	time	g	nm,vt	84320	1400.84412055713	4
53	most	g	adj	816648	1356.73215057488	4
54	years	g	ns	796994	1324.08012217660	5
55	some	g	pn	787901	1308.97353348089	4
56	only	g	adv	772278	1283.01837729556	4
57	over	g	pp,adj	745646	1238.77349990150	4
58	many	g	adj	734385	1220.06512034553	4
59	s	g	sym	714981	1187.82842760918	1
60	can	g	va,nc,vt	713544	1185.44107822440	3
61 	such	g	adj	708955	1177.81717681402	4
62	used	g	vtp	703174	1168.21295496755	4
63	would	g	va	694952	1154.55339571800	5
64	school	g	nc,vt	688421	1143.70316688574	6
65	city	g	nc	678773	1127.67453302055	4
66	may	g	va,vt	668783	1111.07771996983	3
67	up	g	adv,adj,vt	661261	1098.58110057368	2
68	out	g	adv,pp,vt	653468	1085.63425732000	3
69	him	g	pn	651421	1082.23348892012	3
70	where	g	adv,con	627088	1041.80803827316	5
71 	later	g	adr	623455	1035.77238043400	5
72	these	g	pn	619565	1029.30975753437	5
73	between	g	pp	616261	1023.82068142630	7
74	about	g	pp	613591	1019.38489655689	5
75	under	g	pp,adv	607624	1009.47166497795	5
76	world	g	nc	597151	992.072423428381	5
77	then	g	pn	595216	988.857725405044	4
78	known	g	pat,nc	592618	984.541557206268	5
79	than	g	adv,pp	590466	980.966347828376	4
80	made	g	vtp	585069	972.000081558633	4
81 	however	g	adv	571512	949.477259283499	7
82	united	g	vtp	568802	944.975020708179	6
83	no	g	int,adj	554794	921.702932898924	2
84	while	g	con,vt	553899	920.216031229215	5
85	state	g	nc,vt	544175	904.06113532279	5
86	states	g	ns,vt	535396	889.47620821846	6
87	three	g	nc	533323	886.032244909737	5
88	part	g	nc,vt	533053	885.583682394853	4
89	being	g	nc	532804	885.170008075571	5
90	became	g	va	529283	879.32042061295	6
91 	year	g	nc	525036	872.264698388085	4
92	both	g	adj	509559	846.55209822933	4
93	them	g	pn	506142	840.875290402072	4
94	through	g	pp	501811	833.680015394798	7
95	including	g	ppt	497419	826.383398486014	9
96	war	g	nc,vi	495632	823.414579174539	3
97	name	g	nc,vt	491633	816.770869926309	4
98	area	g	nc	491163	815.990038881881	4
99	well	g	nc,vi,int	481863	800.539552258089	4
100	national	g	adj	477466	793.234628636066	8
101 	before	g	pp	473797	787.139162461583	6
102	people	g	ns,vt	471815	783.846381333803	6
103	i	g	sym,pn,ab	470637	781.889319694789	1
104	American	g	ap,np	469141	779.403951093801	8
105	university	g	nc	468023	777.54657001365	1
106	age	g	nc,vi	465942	774.089315963746	3
107	will	g	nc,va,vt	46236	768.138386599614	4
108	early	g	adj,adv	45132	749.79716376879	5
109	since	g	con	445176	739.589874541201	5
110	second	g	nc,adj,vt	438039	727.732872064427	6
111 	called	g	vtp	437078	726.136321779968	6
112	several	g	adj	43553	723.564563361298	7
113	until	g	pp	431819	717.399320795611	5
114	south	g	nm	429166	712.991778751211	5
115	series	g	nc,ns	425918	707.595737831418	6
116	high	g	adj	420365	698.370302108631	4
117	number	g	adr	414772	689.078412679936	6
118	north	g	nm	414374	688.417198306144	5
119	history	g	nc	404858	672.607861670444	7
120 	born	g	pat	398849	662.624853700297	4
121	against	g	pp	398684	662.350732163424	7
122	work	g	nm,vi	396687	659.033030895928	4
123	town	g	nc	396659	658.986513301792	4
124	now	g	adv	392596	652.236478124107	3
125	so	g	adv	391957	651.174880172214	2
126	use	g	nc,vt	391057	649.679671789267	3
127	family	g	nc	385956	641.205162943249	6
128	film	g	nc,vt	384612	638.972318424714	4
129	team	g	nc,vi	383098	636.457045656067	4
130 	music	g	nc	382476	635.423690529185	5
131	if	g	ab	382247	635.043243062857	2
132	each	g	adj	377925	627.862920139413	4
133	album	g	nc	373073	619.802085612678	5
134	group	g	nc,vt	37206	618.119145510538	5
135	life	g	nc	370269	615.143680828472	4
136	county	g	nc	369732	614.251539826647	6
137	any	g	pn	369568	613.979079632421	3
138	following	g	ppt	36911	613.218184699766	9
139	same	g	adj	360262	598.518624952743	4
140	because	g	con	351306	583.639640199767	7
141	government	g	nc	350926	583.008329993633	1
142	game	g	adj,nm,vi	344688	572.644874557159	4
143	system	g	nc	343727	571.04832427270	6
